full_name,sm_axis,eccentricity,inclination,longitude,arg_perihelion,dist_perihelion,dist_aphelion,orb_period,data_arc,albedo,rot_per,spec_B,spec_T,moid,diameter,size
Eriphyla (1900 FQ),2.872398804,0.08799001,3.192670006,105.275106,251.1954773,2.619656404,3.125141203,4.868277301,43300,0.259,8.659,S,S,1.61635,34.274,SMALL
Feodosia (1924 TP),2.732684017,0.18058295,15.8088628,52.76629618,183.4404338,2.239207877,3.226160157,4.517439317,34595,0.057,10.46,Ch,XC,1.228,62.218,SMALL
Phaedra,2.862284603,0.141180788,12.12087238,327.6684776,289.3818847,2.458185008,3.266384197,4.84258691,51849,0.169,5.744,S,S,1.47493,64.849,SMALL
Phthia,2.4514276,0.036370434,5.176071048,203.4149085,167.2212159,2.362268116,2.540587085,3.838281382,50962,0.17,22.346,Sa,S,1.36098,38.49,SMALL
Frigga,2.668110949,0.132298071,2.422958194,1.149364306,61.83027275,2.315125017,3.021096881,4.358268976,51164,0.177,9.012,Xe,MU,1.32908,61.39,SMALL
Niobe,2.756529553,0.173322118,23.26242197,316.0043202,266.9750611,2.278762013,3.234297092,4.576697218,56731,0.3052,35.864,Xe,S,1.40954,83.42,LARGE
Loreley,3.12619586,0.085553397,11.22600611,302.497204,346.6724343,2.858739186,3.393652534,5.527547429,52239,0.047,7.226,Cb,CD,1.84314,180.083,LARGE
Zelima (1907 ZM),3.018797787,0.083508433,10.9014324,147.2889136,189.9221318,2.766702714,3.27089286,5.245165992,41009,0.203,11.73,S,S,1.75656,33.387,SMALL
Terpsichore,2.853597192,0.210697402,7.802982638,0.95964501,51.67737782,2.252351676,3.454842707,4.820556813,56522,0.045,10.943,Cb,C,1.27209,117.727,LARGE
Davida (1903 LU),3.16488038,0.188134966,15.93822372,107.5963266,337.4405412,2.569455716,3.760305045,5.630463564,42444,0.076,5.1297,C,C,1.59307,270.327,LARGE
Riema (1923 NX),1.979167083,0.039292888,26.86093189,163.3799265,348.9212192,1.901399892,2.056934275,2.784401707,34947,1,3.588,Xe,E,0.911444,4.605,SMALL
Diotima (1896 DB),3.0664411,0.035881643,11.24426484,69.37421166,198.5487926,2.956412156,3.176470044,5.369825132,43932,0.067,4.775,C,C,1.94249,175.859,LARGE
Janina (1894 AU),3.139727934,0.167209715,2.659582178,92.78022155,324.2494039,2.614734921,3.664720947,5.563476111,45859,0.101,6.4,B,B,1.62702,43.482,SMALL
Don Quixote (1983,4.258927154,0.708843964,31.08108209,350.0027593,316.4480834,1.24001235,7.277841958,8.789385642,13197,0.03,7.7,D,D,0.333524,19,SMALL
Eros (1898 DQ),1.458112259,0.222735721,10.82856733,304.3062625,178.8213598,1.133338574,1.782885943,1.760737622,45762,0.25,5.27,S,S,0.149341,16.84,SMALL
Campania (1893 AN),2.689278346,0.077943635,6.678633275,210.120859,195.6395218,2.479666217,2.898890476,4.410236048,45969,0.06,11.664,Ch,PD,1.48865,90.346,LARGE
Bruce Helin (1977,2.361863108,0.214778667,23.45965148,45.85134594,309.7944762,1.854585298,2.869140918,3.629863435,15715,0.238,128,Sl,S,0.918053,12.467,SMALL
Paradise (1977 CA),2.39604653,0.172407292,31.08389305,336.0611134,165.8355174,1.982950636,2.809142424,3.708950811,15528,0.247,9.81,Sa,SU,1.00007,8.384,SMALL
Winchester (1913 QZ),3.005864083,0.339229722,18.18137313,129.1696674,277.0381939,1.986185646,4.025542519,5.211493624,38876,0.0503,9.4146,C,PC,1.08825,171.71,LARGE
Koronis,2.870949344,0.051579677,1.005094953,277.6990824,145.2642766,2.722866703,3.019031985,4.864592846,46030,0.213,14.218,S,S,1.73552,39.025,SMALL
Aemilia,3.102688587,0.107018123,6.130813712,134.1144264,333.2562649,2.770644679,3.434732495,5.465318605,42125,0.064,24.476,Ch,C,1.78927,125.236,LARGE
Tiflis (1913 RM),2.328706125,0.221376252,10.08980072,61.34959469,203.0667188,1.81318589,2.84422636,3.553695648,40729,0.333,9.85,L,S,0.802062,20.922,SMALL
Athor,2.379041603,0.137738106,9.059606961,18.60153213,294.8869062,2.051356919,2.706726286,3.669536883,43778,0.23,7.28,Xc,M,1.05686,40.992,SMALL
Berbericia (1914 TY),2.931359264,0.165064145,18.23708001,79.7217093,306.9518351,2.447496954,3.415221575,5.018937353,38395,0.065,7.668,Cgh,C,1.49798,151.711,LARGE
Watsonia (1912 OD),2.759228645,0.097570154,18.04930621,124.3277491,87.94588298,2.490010281,3.028447009,4.583420864,37377,0.133,25.23,L,STGD,1.56469,50.025,SMALL
Baucis,2.380018229,0.114065021,10.0185878,331.9242583,359.6794069,2.108541401,2.651495058,3.671796703,49871,0.1382,27.417,L,S,1.09701,62.43,SMALL
Tercidina (1892 O),2.325583448,0.061132998,9.744102128,212.610947,231.1955099,2.183413558,2.467753337,3.546550055,46290,0.037,12.371,Ch,C,1.21067,96.865,LARGE
Asporina,2.693791387,0.109840908,15.62089766,162.2932666,96.144662,2.397902895,2.989679878,4.421342329,49108,0.193,16.222,A,A,1.44368,50.891,SMALL
Veritas (1902 JP),3.171908236,0.093738903,9.278218336,178.325857,193.9424722,2.874577037,3.469239436,5.649228276,42716,0.059,7.93,Ch,C,1.87431,118.803,LARGE
Erato,3.135443052,0.167731835,2.233522156,125.1514784,276.3918498,2.609529435,3.661356668,5.55209103,41479,0.048,9.2213,Ch,BU,1.61861,106.921,LARGE
Dione,3.186263512,0.162166137,4.592184153,62.15755584,330.1541992,2.669559468,3.702967556,5.68762216,54213,0.044,16.21,Cgh,G,1.67634,207.869,LARGE
Octavia (1906 UC),2.761362071,0.249975521,12.22817608,91.52625141,292.1548011,2.071089148,3.451634994,4.588737719,40833,0.044,10.8903,X,C,1.11086,78.237,LARGE
Laetitia,2.769319014,0.111475577,10.3689809,156.9530994,209.1324657,2.46060758,3.078030448,4.608585866,59605,0.269,5.138,S,S,1.46215,179.484,LARGE
Lilaea,2.752512723,0.14479598,6.801180142,122.0349131,162.0887449,2.353959947,3.151065499,4.566697081,50928,0.092,12.042,B,F,1.33801,82.096,LARGE
Zwetana (1914 UN),2.568726739,0.210639855,12.77140343,71.86856592,131.4759738,2.027650512,3.109802966,4.117039767,41915,0.12,8.8882,Cb,M,1.04599,49.46,SMALL
Bowell (1979 XH),3.954851193,0.093456918,6.49523848,155.6368571,21.92608822,3.58524299,4.324459396,7.865085047,23493,0.045,4.992,D,D,2.59118,48.424,SMALL
Valeria (1906 VL),2.977298237,0.122507529,13.44622438,189.4032147,256.8461695,2.612556785,3.342039688,5.13738026,43021,0.124,6.977,L,S,1.66782,57.468,SMALL
Huenna (1894 AQ),3.14338215,0.180413611,1.669675604,171.9096935,180.2608705,2.576273225,3.710491075,5.573191631,45880,0.046,14.141,C,B,1.56993,84.787,LARGE
Eichsfeldia (1899 EE),2.344948752,0.071013246,6.069627016,134.8951743,84.55437428,2.178426328,2.511471175,3.590940721,46532,0.044,11.871,Ch,C,1.18081,62.171,SMALL
Asterope,2.660010425,0.098956456,7.690881548,221.9732461,126.0275859,2.39678522,2.92323563,4.338436151,44553,0.094,19.7,K,T,1.39984,99.672,LARGE
Vibilia,2.655049606,0.234504061,4.81438201,76.19647229,294.6136702,2.032429691,3.277669521,4.326305283,41718,0.0597,13.819,Ch,C,1.03742,142.38,LARGE
Anastasia (1916 ZH),2.792313253,0.137766699,8.126911215,141.3864157,141.9583289,2.407625473,3.177001033,4.666103939,38646,0.087,250,L,S,1.39678,32.457,SMALL
Circe,2.68738341,0.105948047,5.496017155,184.3613092,330.6761387,2.402660386,2.972106434,4.405575516,56728,0.052,12.15,Ch,C,1.41435,132.992,LARGE
Sorga (1912 OQ),2.988401568,0.140738267,10.68843741,46.15017513,288.6039548,2.567819109,3.408984027,5.166145526,37723,0.209,8.184,Xe,CD,1.58306,34.597,SMALL
Lydia,2.731441254,0.081451571,5.964953509,56.86559515,283.1161076,2.508961073,2.953921436,4.514358023,54376,0.1808,10.927,X,M,1.50807,86.09,LARGE
Gyptis (1899 EL),2.769286299,0.175600725,10.27695964,195.7145525,154.7384266,2.282997617,3.255574981,4.608504202,43960,0.051,6.214,C,C,1.28175,159.331,LARGE
Tirza,2.775406808,0.098652211,6.003219889,73.74745159,196.6117662,2.501606789,3.049206828,4.623790797,40705,0.051,7.648,D,DU,1.48577,55.998,SMALL
Suevia (1896 CT),2.798316972,0.135989858,6.648538143,199.5053201,348.890037,2.417774243,3.178859701,4.681160826,42722,0.072,7.034,Xk,X,1.41916,54.874,SMALL
Corduba (1893 V),2.801577638,0.157280767,12.79122043,185.1857854,216.2112221,2.360943357,3.242211919,4.689345111,44206,0.05,12.705,C,X,1.37923,86.773,LARGE
Erminia (1910 KV),2.923332713,0.049752196,25.01382456,2.807349383,102.6045745,2.77789049,3.068774935,4.998337437,39765,0.031,53.96,C,X,1.86393,132.261,LARGE
Klio,2.36248979,0.235843694,9.31534739,327.5144105,15.1547952,1.805311471,2.91966811,3.631308221,56142,0.0527,23.562,Ch,G,0.797648,79.16,LARGE
Ate,2.593214392,0.102706873,4.931572607,305.7385348,166.3973952,2.32687345,2.859555335,4.176051416,54422,0.062,22.072,Ch,C,1.34401,126.344,LARGE
Lamberta,2.726894088,0.24156695,10.58578524,21.69053499,196.8289739,2.068166599,3.385621577,4.503089802,42698,0.044,10.67,Ch,C,1.06396,147.294,LARGE
Notburga (1907 XO),2.572984614,0.242882819,25.37154105,341.6386962,43.55622323,1.948050858,3.197918371,4.127280506,40997,0.032,19.353,Xc,CX,0.997854,73.236,LARGE
Undina,3.185736393,0.104533313,9.932002849,101.5788858,239.1327349,2.852720814,3.518751973,5.686210822,54118,0.2509,15.941,Xc,X,1.85836,126.42,LARGE
Danae,2.985558304,0.165958717,18.19649465,333.6550237,12.42664142,2.490078879,3.481037729,5.158774417,56240,0.203,11.45,S,S,1.4837,85.937,LARGE
Scheila (1906 UA),2.928751531,0.163321723,14.66140054,70.60366154,175.3154317,2.450422785,3.407080277,5.012241582,41453,0.04,15.848,T,PCD,1.43692,159.726,LARGE
Malzovia (1913 RF),2.24384842,0.172998287,5.394243958,109.7589195,128.90851,1.855666487,2.632030352,3.361231891,38649,0.27,5.9279,S,S,0.848747,11.065,SMALL
Austria,2.286339426,0.085214594,9.579215943,186.4549295,132.8848726,2.091509939,2.481168913,3.457158256,51977,0.201,11.4969,Xe,M,1.09158,36.893,SMALL
Carlova (1893 N),3.007699194,0.175994577,11.69433884,132.4073477,288.4494583,2.478360446,3.537037943,5.21626686,42152,0.043,6.183,C,C,1.52122,129.125,LARGE
Zelinda (1908 BM),2.297174526,0.231144153,18.12626698,278.4432442,213.9094091,1.766196067,2.828152985,3.48176287,40650,0.027,31.735,Ch,C,0.804655,160.736,LARGE
Hekate,3.087283252,0.169204158,6.431726468,127.1913929,184.5787772,2.56490209,3.609664415,5.424664928,54173,0.205,27.066,S,S,1.54987,85.734,LARGE
Hertha,2.428396219,0.206991383,2.303799898,343.5794855,340.1122253,1.925739129,2.93105331,3.784317136,49071,0.1436,8.403,Xk,M,0.912862,79.24,LARGE
Agnia (1915 XX),2.782330511,0.095757137,2.48188335,270.9182549,130.0056871,2.515902508,3.048758515,4.641103779,41124,0.152,14.827,S,S,1.5244,24.931,SMALL
Hermentaria (1892 P),2.796472879,0.10191815,8.752262384,91.94145971,292.0678559,2.511461536,3.081484222,4.676534256,46143,0.332,28.523,S,S,1.53123,86.447,LARGE
Kolga,2.893762679,0.090834079,11.50794189,159.3000411,226.6029072,2.630910411,3.156614947,4.922690925,49162,0.046,17.604,Cb,XC,1.64621,94.536,LARGE
Bohemia (1893 AD),2.727509925,0.064748871,7.401166711,283.3906412,342.5456106,2.550906736,2.904113114,4.504615343,46037,0.234,10.7391,S,QSV,1.53546,52.976,SMALL
Martha,2.777709295,0.036161311,10.69505557,211.7903025,176.731161,2.677263686,2.878154903,4.629545857,50949,0.061,14.911,Ch,C,1.68139,76.983,LARGE
Diana,2.619441853,0.207365208,8.700972719,333.4009125,152.7725128,2.076260748,3.162622957,4.239565463,56942,0.0706,7.2991,Ch,C,1.0957,120.6,LARGE
Melpomene,2.29665351,0.217674362,10.1287313,150.3838618,227.9508469,1.796730922,2.796576098,3.480578404,60906,0.181,11.57,S,S,0.813258,139.594,LARGE
Myrrha (1894 AS),3.225266728,0.090122891,12.55618834,125.0805517,143.4040796,2.934596366,3.51593709,5.79237482,45740,0.064,6.572,Cb,C,1.92842,127.639,LARGE
Nausikaa,2.403100507,0.245042132,6.797989328,343.1085347,30.67497087,1.814239635,2.991961379,3.725341625,50992,0.327,13.625,Sl,S,0.817303,98.776,LARGE
Concordia,2.700075758,0.042782371,5.06541028,161.1075355,30.80176723,2.584560115,2.815591401,4.436823236,56705,0.044,9.895,Ch,C,1.58633,106.517,LARGE
Berkeley (1911 MD),2.814911909,0.086347708,8.480344514,145.9167016,57.51643143,2.571850717,3.057973101,4.722863729,41308,0.17,15.55,S,S,1.58188,19.768,SMALL
Sapientia,2.769711341,0.163930452,4.764284007,134.0501295,39.70275076,2.31567131,3.223751372,4.609565243,46611,0.049,14.931,C,X,1.32393,103,LARGE
Philippina (1907 YJ),2.793201756,0.081841255,18.91739464,224.7086382,278.3544874,2.56460262,3.021800893,4.668331221,41056,0.229,5.899,S,S,1.6487,50.491,SMALL
Ra-Shalom (1978 RA),0.832030193,0.436498448,15.75341917,170.8136994,356.0610614,0.468850305,1.19521008,0.758956407,16101,0.13,19.797,Xc,C,0.149853,2.3,SMALL
Thisbe,2.769174121,0.16164291,5.21393152,276.4610477,36.23247245,2.321556759,3.216791484,4.608224184,55942,0.0671,6.042,B,CF,1.30894,232,LARGE
Cloelia (1908 CL),3.018485024,0.034519157,9.227519568,335.7655834,183.2774037,2.914289466,3.122680582,5.244350873,37088,0.182,5.536,K,S,1.9236,40.081,SMALL
Irene,2.585567305,0.16658231,9.121643599,86.12266133,97.85899133,2.15485753,3.016277081,4.157593008,61450,0.159,15.028,S,S,1.17966,152,LARGE
Xanthippe,2.727097984,0.227211742,9.781851796,241.8287643,338.2902578,2.107469301,3.346726667,4.50359487,43067,0.03,22.37,Ch,C,1.10239,143.346,LARGE
Solvejg (1933 QS),3.097608593,0.190610165,3.101106302,121.338963,185.1560296,2.507172907,3.688044279,5.451901652,34022,0.121,19.3,B,BC,1.49146,36.824,SMALL
Protogeneia,3.141319919,0.025522912,1.933842626,248.2950357,98.27459979,3.061144287,3.22149555,5.56770805,49481,0.0492,7.8528,C,C,2.05303,132.93,LARGE
Sidonia (1905 SD),3.012229606,0.077929918,11.01926099,82.64888546,228.2381388,2.7774868,3.246972412,5.228056969,41117,0.1748,16.286,K,S,1.77546,85.57,LARGE
Abundantia,2.59151599,0.033272581,6.434814732,38.86607467,131.8396625,2.505289563,2.677742417,4.171949487,49150,0.233,9.864,Sl,S,1.51343,39.037,SMALL
Galatea,2.78309383,0.236436907,4.070961926,197.196859,174.3051994,2.125067733,3.441119927,4.643013805,56815,0.0431,17.268,C,C,1.12443,118.71,LARGE
Sibylla,3.372311795,0.073635106,4.670180376,205.9602059,175.3246772,3.123991258,3.620632332,6.192981527,50894,0.056,47.009,Ch,C,2.12595,145.366,LARGE
Endymion (1892 K),2.568153796,0.129296902,7.352661377,232.6688685,225.1469199,2.236099465,2.900208126,4.115662413,46328,0.038,6.319,Ch,C,1.25972,60.903,SMALL
Lucina,2.718078995,0.06726758,13.1011317,83.94558915,146.0037425,2.535240398,2.900917592,4.48127209,48896,0.036,18.557,Ch,C,1.53188,160.31,LARGE
Elektra,3.125184922,0.208770572,22.77951976,145.015763,237.4524769,2.472738278,3.777631566,5.524866427,45917,0.086,5.225,Ch,G,1.54137,180.652,LARGE
Dorothea (1892 G),3.013079742,0.097752765,9.962295419,173.4999322,164.3981466,2.718542865,3.307616619,5.230270383,46229,0.198,5.974,K,S,1.71054,44.329,SMALL
Irmintraud (1913 TV),2.858010779,0.078749308,16.66643537,322.3138449,332.27007,2.632944409,3.083077149,4.831744889,38591,0.048,6.7514,T,D,1.62637,91.672,LARGE
Melete,2.595744872,0.238082774,8.080990773,192.9849355,105.0371245,1.977742733,3.213747012,4.182165445,56213,0.057,18.147,Xk,P,0.980357,121.333,LARGE
Burdigala (1894 AV),2.651000428,0.148580108,5.590465593,47.8325245,34.8223101,2.257114497,3.044886359,4.316412078,43823,0.192,21.1,S,S,1.27543,34.435,SMALL
Aquitania (1894 AZ),2.741148818,0.235067234,18.11271767,128.2281007,157.2445316,2.096794547,3.385503089,4.538445489,45646,0.19,24.144,L,S,1.08997,100.51,LARGE
Egeria,2.575981091,0.085121415,16.53612295,43.22191706,80.54483096,2.356709935,2.795252248,4.1344925,61531,0.07,7.045,Ch,G,1.43633,222.792,LARGE
Phaethon (1983 TB),1.271372811,0.889897661,22.26024405,265.216236,322.1855106,0.13998112,2.402764501,1.433565634,13128,0.1066,3.604,B,F,0.0195545,6.25,SMALL
Klymene,3.145016321,0.160572204,2.790040532,41.67434694,31.83567246,2.640014118,3.650018524,5.577538254,48908,0.052,8.984,Ch,C,1.6552,136.553,LARGE
Herculina (1904 NY),2.7725462,0.175352702,16.31537444,107.5325753,76.30367604,2.286372733,3.258719667,4.616644037,42020,0.285,9.405,S,S,1.3544,167.791,LARGE
Rhodope,2.684670143,0.211819463,12.02935233,128.9127089,264.4042062,2.116004754,3.253335532,4.398905189,48819,0.046,4.715,Xe,GC,1.16106,52.393,SMALL
Devosa (1892 E),2.382994911,0.136946104,7.853661616,355.4726836,98.48056865,2.056653042,2.70933678,3.678687314,46247,0.135,4.653,X,X,1.09062,64.549,SMALL
Athamantis,2.382303148,0.061583721,9.450957602,239.8533214,140.1272952,2.235592055,2.529014242,3.677085594,50019,0.164,24.0055,Sl,S,1.24762,111.332,LARGE
Sylvania (1903 MP),2.791492082,0.183114523,11.01242072,44.72028718,302.4641896,2.280329342,3.302654822,4.66404576,42308,0.246,17.962,S,S,1.29613,40.078,SMALL
Viola (1926 TE),2.473658187,0.145872136,3.320253865,143.6079504,304.5714924,2.112820385,2.83449599,3.890610321,33924,0.041,7.336,C,F,1.13136,22.298,SMALL
Rachele (1908 EP),2.922543821,0.195453228,13.50979762,58.13849625,41.85076862,2.351323196,3.493764446,4.996314293,43051,0.206,30.982,S,S,1.38596,96.171,LARGE
Portlandia (1908 EJ),2.37300251,0.109620787,8.168654732,22.51068257,43.93077788,2.112872107,2.633132914,3.655573318,38848,0.217,6.5837,Xk,XF,1.13344,32.894,SMALL
Dulcinea (1905 QZ),2.408931988,0.243945681,5.227982232,3.179812163,27.57854967,1.821283433,2.996580542,3.73890999,41519,0.298,126.3,S,S,0.827709,11.696,SMALL
Kleopatra,2.793772621,0.250909101,13.11298701,215.3550173,180.0566243,2.092789645,3.494755597,4.669762439,50790,0.1164,5.385,Xe,M,1.09911,122,LARGE
Botolphia (1913 QT),2.719329206,0.070465452,8.413729248,100.7092323,61.93450942,2.527710443,2.910947968,4.484364262,40301,0.1391,23.93,X,X,1.55025,29.64,SMALL
Edda (1908 EA),2.814158886,0.010857322,2.877536085,226.7110567,234.7209131,2.783604657,2.844713115,4.720968722,40408,0.092,22.34,S,S,1.80168,37.622,SMALL
Ortrud (1904 PM),2.967778162,0.12212707,0.396577908,5.966831935,68.27553792,2.605332109,3.330224214,5.112759383,41912,0.04,17.416,C,XC,1.62016,81.113,LARGE
Arete,2.737722818,0.164432662,8.795436827,81.60526726,246.2647209,2.287551768,3.187893868,4.529939646,51214,0.373,6.6084,S,S,1.29195,31.729,SMALL
Celuta,2.361442586,0.15015535,13.18512007,14.75869414,315.6239597,2.006859347,2.716025824,3.62889405,49462,0.1929,19.842,K,S,1.01842,49.99,SMALL
Tombaugh (1931 FH),3.023690232,0.102029995,9.394902511,309.0791021,38.12670677,2.715183134,3.33219733,5.257922103,36214,0.1038,7.24,Xc,XSCU,1.71345,32.33,SMALL
Silesia,3.125705545,0.110635729,3.615904954,34.23646078,29.98761881,2.779890834,3.471520255,5.526247061,48713,0.0545,15.7095,Ch,SCTU,1.79359,72.66,LARGE
Tyche,2.61553151,0.204119389,14.32230095,207.5643947,155.6140498,2.081650817,3.149412203,4.230075677,48677,0.1676,10.041,S,S,1.08817,64.78,SMALL
Evelyn (1903 LF),2.723147998,0.176337208,5.010392982,68.89894016,41.83353729,2.242955683,3.203340314,4.493813762,42407,0.0585,38.78,Ch,XC,1.26281,81.68,LARGE
Nyx (1980 PA),1.927084706,0.459476247,2.185926605,261.2510573,126.6051178,1.041635058,2.812534354,2.675219425,14141,0.23,4.42601,V,V,0.0556973,1,SMALL
Peitho,2.43675488,0.164561865,7.745998415,47.68280998,33.4010243,2.035757953,2.837751808,3.803872653,53839,0.245,7.8055,S,S,1.05591,40.211,SMALL
Nephele (1897 DN),3.139731473,0.170101038,1.82762527,117.1895917,216.9741875,2.60565989,3.673803057,5.563485519,42680,0.055,13.53,B,B,1.59502,101.9,LARGE
Barbara,2.385936886,0.245427789,15.37221639,144.5256922,192.177955,1.800361672,2.9715121,3.685501814,49639,0.205,26.4744,Ld,S,0.791683,45.476,SMALL
Mandeville (1913 QR),2.73668864,0.143926425,20.66199857,136.5574782,45.26979338,2.342806827,3.130570454,4.527373104,36974,0.051,11.931,X,X,1.38819,104.517,LARGE
Papagena (1901 GN),2.893827047,0.228618659,15.01716456,83.81346004,315.1361916,2.232244189,3.555409904,4.922855173,43192,0.164,7.113,S,S,1.26726,148.128,LARGE
Prokne,2.615394837,0.238323406,18.50864889,159.3029088,163.0771466,1.992085031,3.238704644,4.229744121,51286,0.057,15.679,C,C,0.985887,161.667,LARGE
Mitaka (1927 WA),2.201609581,0.195539661,7.652197442,54.49311232,319.6938373,1.771107591,2.632111572,3.266770779,32788,0.173,3.0361,S,S,0.780079,15.137,SMALL
Antiope,3.149874886,0.16607652,2.206907591,69.97002222,244.8751967,2.626754625,3.672995147,5.590467898,55740,0.058,16.509,C,C,1.61312,115.974,LARGE
Lomia,2.990315511,0.027627708,14.90248311,348.7754849,51.19681674,2.907699949,3.072931074,5.171109363,46233,0.027,9.127,X,XC,1.92333,208.974,LARGE
Mnemosyne,3.151209171,0.113466854,15.21509019,199.2006564,210.7687811,2.793651382,3.508766961,5.594020453,58312,0.2149,12.463,S,S,1.81222,112.59,LARGE
Eurykleia,2.877853688,0.043628526,6.969878774,6.986817633,118.5996388,2.752297172,3.003410204,4.882151676,49299,0.051,16.521,Ch,C,1.77542,93.109,LARGE
Helio (1918 DU),3.201838236,0.145106944,26.07956897,264.687314,177.8977857,2.737229276,3.666447196,5.729375443,41230,0.071,9.347,B,FCB,1.75338,109.568,LARGE
Isolda,3.040848688,0.160731281,3.886319973,263.6281577,173.3744784,2.552089184,3.529608193,5.302741027,50868,0.062,18.365,Ch,C,1.56738,141.125,LARGE
Miriam,2.662343774,0.252032537,5.176794936,210.8577664,147.0569018,1.991346517,3.33334103,4.344145886,54622,0.051,23.613,C,P,0.989341,82.595,LARGE
Liriope (1896 CN),3.507366135,0.072463954,9.556404917,110.5743632,318.9181218,3.253208517,3.761523752,6.568706521,40831,0.027,7.353,Cg,C,2.27564,88.76,LARGE
Vaticana (1896 CS),2.791704753,0.218183816,12.86312136,58.08693484,198.1221703,2.182599958,3.400809549,4.66457877,44089,0.1689,5.372,Sl,S,1.17168,85.47,LARGE
Sirona,2.766288649,0.14206016,3.5643983,63.71031054,94.53183559,2.373309239,3.159268058,4.601023423,53563,0.256,12.028,Sk,S,1.38617,71.7,SMALL
Tezcatlipoca (1950 LA),1.709520974,0.364744372,26.8695904,246.5742663,115.4530666,1.085982821,2.333059127,2.235217827,25243,0.25,7.24612,Sl,SU,0.245309,4.3,SMALL
Penelope,2.679821437,0.179754284,5.75421307,156.9458316,180.6083763,2.198112055,3.16153082,4.386993467,51144,0.04,3.7474,X,M,1.18797,85.877,LARGE
Tergeste (1901 GU),3.016198754,0.082863279,13.18342321,233.9014568,239.5844659,2.766266635,3.266130874,5.238393715,43062,0.174,16.101,L,S,1.80949,80.738,LARGE
Pierretta,2.782119423,0.159549545,9.029081057,6.259151181,262.7181598,2.338233534,3.226005311,4.640575625,46640,0.23,10.282,Sk,S,1.3435,46.191,SMALL
Rhoda (1918 EU),2.803106947,0.160732109,19.55028096,43.10440925,88.09841844,2.352557656,3.253656238,4.693185323,43313,0.032,22.44,Xk,C,1.46204,82.66,LARGE
Dudu (1905 QM),2.746319679,0.277680155,17.99373929,70.76609603,214.9242902,1.983721205,3.508918154,4.551293425,41741,0.05,8.882,Xc,CDX,0.990992,52.01,SMALL
Holda (1917 BZ),2.732186329,0.078821121,7.374097345,194.7347476,17.84081831,2.516832338,2.947540319,4.51620527,43291,0.165,5.945,X,M,1.5126,34.431,SMALL
Lucretia,2.187358803,0.13267527,5.303962169,31.40887174,16.58788825,1.897150383,2.477567223,3.235103985,47140,0.226,4.348,S,SU,0.906903,11.036,SMALL
Etheridgea,3.029221839,0.097296094,6.037947509,21.96099351,332.7798762,2.734490385,3.323953294,5.272357143,46525,0.0447,25.315,C,CX,1.73091,74.92,LARGE
Juewa,2.782193067,0.174812462,10.90888225,1.829932317,165.6002678,2.295831049,3.268555086,4.640759885,45439,0.052,20.991,X,CP,1.30419,151.116,LARGE
Fortuna,2.442710697,0.158046851,1.573782207,211.1440435,182.0650176,2.056647963,2.828773431,3.817827076,60970,0.037,7.4432,Ch,G,1.06213,200,LARGE
Virtus (1902 JV),2.986421418,0.064601481,7.084995475,38.21260842,217.7224888,2.793494172,3.179348664,5.161011653,42686,0.065,5.57,Ch,C,1.78295,100.786,LARGE
Nefertiti (1982 RA),1.574459175,0.284146115,32.96161689,340.0066303,53.40777463,1.127082717,2.021835634,1.975628618,13434,0.42,3.021,Sq,S,0.215293,2.2,SMALL
Phyllis (1905 PW),2.464368612,0.103682492,5.246059729,286.0392328,178.02551,2.208856733,2.71988049,3.868714713,40893,0.201,4.293,S,S,1.22591,36.279,SMALL
Liberatrix,2.744361969,0.07777621,4.663375923,168.9922715,109.7857693,2.530915895,2.957808043,4.546427718,53527,0.182,3.968,X,M,1.51881,48.418,SMALL
Iclea,3.195584064,0.028222733,17.89769818,149.0875863,211.6740141,3.105395947,3.285772181,5.712596802,44378,0.0508,15.365,Ch,CX,2.10386,94.3,LARGE
Pallas,2.772465922,0.230336821,34.83623442,173.0800627,310.0488574,2.133864935,3.411066909,4.616443528,72318,0.101,7.8132,B,B,1.23324,545,LARGE
Bettina,3.142700416,0.135085089,12.82049613,23.82498524,76.08572654,2.718168449,3.567232383,5.571378666,48928,0.112,5.0545,Xk,M,1.77023,120.995,LARGE
Ingeborg (1894 BE),2.32018549,0.305420605,23.20080611,212.872769,147.0475348,1.611553034,3.028817945,3.534209271,45453,0.29,26.391,S,S,0.644475,15.751,SMALL
Padua (1893 S),2.747942057,0.071023064,5.947000862,64.74705521,296.1980118,2.552774792,2.943109322,4.555327009,46647,0.059,8.401,X,XC,1.55616,97,LARGE
Eos,3.010967444,0.104278175,10.87905291,141.8202009,192.9950612,2.696989254,3.324945634,5.224771382,48869,0.166,10.443,K,S,1.68681,95.469,LARGE
Philomela,3.113336496,0.015906516,7.263022248,72.32192847,199.751591,3.063814158,3.162858834,5.49347682,51225,0.342,8.334,S,S,2.04839,144.626,LARGE
Marghanna (1912 PY),2.729290692,0.321653289,16.87902042,42.98415494,309.8283454,1.851405365,3.607176019,4.509027597,38964,0.059,20.62,Ch,C,0.893386,67.976,SMALL
Cybele,3.425952865,0.111942943,3.563530794,155.6163089,102.6307566,3.042441618,3.809464112,6.341328882,57769,0.0706,6.0814,Xc,P,2.02972,237.26,LARGE
Clorinde,2.340028261,0.080369273,9.032814942,144.9000461,296.6478825,2.151961891,2.528094632,3.579644152,44131,0.0502,6.42,B,BFU,1.18504,39.03,SMALL
