full_name,sm_axis,eccentricity,inclination,longitude,arg_perihelion,dist_perihelion,dist_aphelion,orb_period,data_arc,albedo,rot_per,spec_B,spec_T,moid,diameter,size
Athalia (1903 ME),3.119868676,0.175392724,2.038494149,121.093737,300.332364,2.572666409,3.667070943,5.510774916,42331,0.039,10.636,Cb,I,1.58602,41.19,SMALL
Appenzella (1965 SA),2.449873006,0.179095133,3.254658282,12.35742145,20.14870804,2.011112675,2.888633337,3.834630842,28105,0.032,5.1839,C,F,1.0167,20.221,SMALL
Nanon (1905 QD),2.711723555,0.065787067,9.301365436,112.0682084,128.5033509,2.533327216,2.890119893,4.465564047,41803,0.05,10.059,Xk,C,1.53101,79.82,LARGE
Lumen,2.664283192,0.214850231,11.89775268,318.4958591,57.947417,2.091861333,3.236705051,4.348893574,51764,0.067,19.87,Ch,CPF,1.11774,117.916,LARGE
Nenetta,2.875996949,0.201247761,6.678775286,181.9524619,190.3378741,2.297209002,3.454784895,4.877427625,42748,0.889,6.902,A,A,1.29688,37.586,SMALL
Megaira (1901 FV),2.800234947,0.205535878,10.17000774,102.3661997,258.2826499,2.224686199,3.375783694,4.685974373,43220,0.045,12.726,C,FXU,1.24714,77.056,LARGE
Boliviana (1911 LO),2.574431174,0.187019284,12.76498779,230.8202509,181.4830564,2.0929629,3.055899449,4.130761598,39500,0.038,11.7426,X,C,1.10352,112.818,LARGE
Unitas,2.357924744,0.15079186,7.277329949,141.8654756,167.7898875,2.002368887,2.713480601,3.620788124,46809,0.201,8.736,S,S,0.98785,47.2,SMALL
Magellan (1985 DO2),1.82028778,0.326178853,23.25238269,164.8345161,154.3792142,1.2265484,2.41402716,2.455942998,12509,0.31,7.475,V,V,0.239016,2.49,SMALL
Camilla,3.491538544,0.065376898,9.999895107,172.5968079,306.5943524,3.263272586,3.719804503,6.524293102,54913,0.059,4.844,X,C,2.29158,254,LARGE
Burgundia (1893 AK),2.780097674,0.079668187,8.993765426,219.0158602,25.3383735,2.558612333,3.001583016,4.635518129,42269,0.3014,6.972,S,S,1.5492,44.67,SMALL
Vala,2.432107243,0.067523295,4.961348774,65.66034525,160.4478433,2.267883348,2.596331137,3.792995119,53226,0.246,5.1812,Xc,SU,1.2585,31.337,SMALL
Ostro (1981 LA),1.891867903,0.066816924,24.90716511,96.37205657,32.46101423,1.765459109,2.018276698,2.602222431,23873,0.96,6.503,Xe,TS,0.79621,4.662,SMALL
Holmia (1893 AP),2.776387093,0.130224869,7.006095037,232.4504031,157.5831962,2.414832449,3.137941738,4.626240726,45744,0.339,4.45,S,S,1.42166,27.831,SMALL
Aegina,2.592223971,0.105678114,2.103166381,10.58637932,73.45950267,2.318282632,2.866165311,4.173659219,55800,0.048,6.025,Ch,CP,1.33535,103.402,LARGE
Ivar (1929 SH),1.863481493,0.39661326,8.450367747,133.1221751,167.7698096,1.124400023,2.602562963,2.543875357,32912,0.15,4.795,S,S,0.11161,9.12,SMALL
Crimea (1929 YC),2.771547952,0.112628006,14.13591059,72.14033679,309.9918549,2.459394033,3.083701872,4.614150946,30870,0.16,9.77,S,S,1.4894,29.179,SMALL
Euterpe,2.346664413,0.173225845,1.583713718,94.78795695,356.4498658,1.940161487,2.753167339,3.594882363,60345,0.215,10.4082,S,S,0.956809,96,LARGE
Charis (1907 XS),2.900852473,0.058166675,6.472462508,142.4725587,177.0203535,2.73211953,3.069585415,4.940793082,41078,0.047,27.888,X,XB,1.7182,38.018,SMALL
Alkmene,2.762901332,0.220085733,2.82641181,25.44858368,111.2202279,2.154826166,3.370976497,4.59257509,56507,0.167,12.999,Sq,S,1.17092,57.621,SMALL
Aspasia (1895 CE),2.575545296,0.072590877,11.26815215,242.1528123,353.2236543,2.388584205,2.762506387,4.133443356,45178,0.054,9.022,Xc,CX,1.37686,171.012,LARGE
Riga (1966 KB),3.357502475,0.05648525,22.57945971,186.7195667,26.00317686,3.167853108,3.547151841,6.152232144,25021,0.044,22.226,Cb,XFCU,2.17621,68.167,SMALL
Malabar (1906 UT),2.988138239,0.049329458,24.53604061,179.9521092,303.5841057,2.840734999,3.135541479,5.165462704,43044,0.042,11.74,Ch,XC,1.89102,94.522,LARGE
Aegle,3.050889461,0.140596567,15.97316728,321.497057,208.7460968,2.621944876,3.479834046,5.329026885,55335,0.048,13.868,T,T,1.64137,177.774,LARGE
Stearns (1973 SC),1.883901413,0.131561057,27.75208956,77.03567028,200.7360502,1.636053352,2.131749474,2.585803149,16766,0.649,93,Xe,E,0.629586,4.824,SMALL
Eleonora (1893 A),2.798632549,0.114052816,18.3992883,140.3528242,5.56265887,2.479440626,3.117824472,4.681952717,46105,0.201,4.277,Sl,S,1.4929,148.97,LARGE
Hecuba,3.236576264,0.055475088,4.220482269,349.9860672,205.5650273,3.057026912,3.416125615,5.822868327,50873,0.148,14.256,Sl,S,2.05678,75.498,LARGE
Isis,2.441703519,0.222823152,8.514622308,84.19733428,237.305438,1.897635444,2.985771594,3.815466071,59493,0.139,13.59,L,S,0.899544,110.997,LARGE
Taurinensis (1903 LV),2.189040288,0.254447195,8.747156636,107.035564,249.2788306,1.632045127,2.746035449,3.238835077,40305,0.1772,5.585,S,S,0.651093,23.09,SMALL
Dolores (1933 HA),2.700518062,0.237181015,6.968628968,247.0391376,47.0877798,2.060006446,3.341029677,4.437913486,31292,0.063,17.19,Cb,C,1.05075,32.587,SMALL
Arduina (1894 BH),2.763996083,0.226718501,6.219632025,66.90747964,271.1815857,2.137347034,3.390645132,4.595304951,45423,0.294,16.53,S,S,1.13859,29.97,SMALL
Lacrimosa,2.892140981,0.012277074,1.745380803,4.240098331,107.931141,2.856633951,2.927648011,4.918553406,43176,0.206,14.085,Sk,S,1.87387,40.056,SMALL
Lacadiera (1892 D),2.251446036,0.095491003,5.653639987,235.0379508,31.405689,2.036453196,2.466438875,3.378317907,46254,0.044,13.7,Xk,D,1.0228,67.513,SMALL
Siwa,2.733948257,0.214070962,3.18541794,107.1799203,196.7298818,2.148689325,3.319207189,4.520574578,52027,0.0676,34.445,Xc,P,1.1329,109.79,LARGE
Pomona,2.588507764,0.080901389,5.523952791,220.4415627,339.5357809,2.379093891,2.797921637,4.164687411,56838,0.2564,9.448,S,S,1.37704,80.76,LARGE
Ursula (1893 AL),3.127897915,0.105379732,15.92968633,336.5006976,341.4626032,2.79828087,3.457514959,5.532062247,45973,0.042,16.899,Xc,C,1.78953,216,LARGE
Apollo (1932 HA),1.470045105,0.559823398,6.355123008,35.63054465,285.9707515,0.64707946,2.293010751,1.782395976,32277,0.25,3.065,Q,Q,0.0259212,1.5,SMALL
Daedalus (1971 FA),1.461087899,0.614376088,22.20872477,6.633243473,325.6260409,0.563430431,2.358745367,1.766130205,17755,0.273,8.572,Sr,SQ,0.269151,3.7,SMALL
Pales,3.105045615,0.222067022,3.195215221,285.0858159,112.2986827,2.415517381,3.794573849,5.471547568,56886,0.048,20.705,Ch,CG,1.42463,166.252,LARGE
